average,rrData
62.8,976
62.100002,992
61.100002,1023
60.5,1015
60.5,992
61.9,921
62.7,929
63.4,921
64.4,898
65.8,867
65.9,906
65.700005,921
64.6,968
63.7,976
63.3,960
62.9,968
63.100002,945
64.200005,898
65.0,898
65.5,898
66.1,890
66.1,906
66.3,898
65.5,945
64.700005,953
65.0,914
65.0,921
64.700005,937
64.700005,929
65.3,898
65.4,914
65.8,898
67.0,859
67.1,890
67.200005,890
66.9,906
67.4,875
67.4,890
67.4,890
67.200005,898
68.0,859
69.200005,835
69.200005,867
68.8,882
67.8,914
66.200005,960
65.1,960
64.8,937
64.1,960
63.9,945
64.6,906
64.9,914
64.8,929
64.6,937
64.6,929
65.1,906
64.8,937
64.6,937
65.4,890
65.8,898
65.6,921
66.0,898
66.8,875
68.1,843
69.4,828
69.9,843
70.3,843
69.4,890
68.1,921
66.4,960
66.0,921
64.9,960
63.600002,992
62.8,984
63.3,929
63.5,937
64.700005,890
65.700005,882
65.200005,937
63.600002,1000
62.7,992
61.100002,1046
59.8,1054
59.2,1039
59.4,1000
59.7,992
60.8,945
61.5,953
62.0,953
61.8,976
62.3,945
61.9,984
61.3,1000
61.4,976
61.7,960
62.4,937
63.9,890
65.0,890
65.5,898
66.6,867
66.700005,898
65.9,937
65.5,929
65.0,937
64.200005,960
63.2,984
62.5,984
63.100002,929
63.9,914
64.6,906
65.3,898
66.1,882
66.3,898
65.200005,960
63.5,1007
62.7,984
61.9,1000
61.2,1007
61.7,953
63.4,890
64.6,890
65.6,882
66.1,890
67.0,867
66.6,914
65.1,976
63.4,1007
62.7,984
62.3,976
61.600002,1000
61.4,984
62.2,937
63.4,906
64.200005,906
64.6,914
64.8,921
64.6,937
63.8,968
63.600002,953
63.4,953
63.0,968
63.2,945
64.3,898
65.200005,890
65.3,914
65.8,898
66.1,898
65.9,914
66.200005,898
67.3,859
68.1,859
68.6,859
69.4,843
69.200005,875
68.0,921
66.5,953
65.0,976
64.200005,960
64.0,945
63.8,945
63.9,937
64.1,929
65.3,882
65.200005,921
64.5,953
63.4,984
62.3,1007
61.600002,1000
61.7,968
61.600002,976
62.3,937
63.8,890
64.3,914
63.9,953
63.600002,953
63.3,960
62.3,1000
61.100002,1031
60.4,1023
61.0,960
62.100002,929
63.2,914
64.6,882
66.200005,859
66.200005,906
65.4,945
64.4,968
63.7,968
62.3,1015
61.100002,1031
60.2,1031
60.9,960
61.2,968
61.600002,960
62.3,937
63.5,906
63.5,945
62.7,984
62.3,976
62.2,968
61.4,1007
61.0,1000
61.5,960
61.3,984
61.2,984
61.9,945
61.600002,984
61.3,992
61.2,984
60.4,1023
59.7,1031
59.8,1000
60.5,968
60.2,1007
59.9,1015
59.9,1000
60.8,953
61.0,976
60.8,992
61.2,968
61.7,953
61.5,984
61.2,992
61.9,945
62.5,937
62.5,960
62.0,984
62.600002,937
62.7,953
62.5,968
63.100002,929
64.4,890
65.3,890
65.1,929
65.4,906
64.700005,953
63.7,976
63.5,953
64.1,914
64.1,937
63.8,953
63.4,960
63.8,929
63.9,937
63.5,960
62.7,984
62.8,953
62.3,984
61.100002,1031
60.5,1015
60.3,1000
59.7,1031
59.4,1023
59.3,1015
60.0,976
60.3,984
60.7,976
61.7,937
63.100002,906
63.7,921
63.5,953
62.7,984
62.2,984
62.7,937
62.2,984
62.100002,968
62.5,945
64.0,890
64.8,898
65.0,914
65.200005,914
66.0,882
66.8,875
66.4,914
64.9,976
63.3,1007
61.8,1031
61.7,976
61.9,960
61.9,968
62.4,945
63.7,898
64.6,898
64.9,914
64.8,929
65.0,914
65.5,898
65.200005,929
65.0,929
65.5,898
66.6,867
67.200005,875
67.4,882
67.200005,898
67.6,875
67.9,875
67.4,906
67.0,906
67.5,875
67.5,890
67.8,875
68.200005,867
69.5,828
69.8,851
70.4,835
70.200005,859
69.4,890
69.0,882
68.200005,906
67.1,929
65.9,953
65.5,929
64.6,960
63.8,968
63.600002,953
63.7,937
63.3,960
62.8,976
62.9,953
62.2,992
61.5,1000
62.100002,945
62.4,953
62.3,968
62.7,945
62.9,945
62.8,960
61.8,1007
62.3,945
61.9,984
61.2,1007
60.600002,1015
60.9,976
60.600002,1000
60.100002,1015
61.100002,945
62.2,929
62.3,960
61.9,984
62.4,945
62.9,937
64.3,890
66.200005,851
67.1,867
67.700005,867
68.0,875
68.4,867
69.5,835
69.8,851
70.200005,843
70.9,828
70.200005,875
68.8,914
67.5,929
66.0,960
65.3,1031
64.1,1078
61.7,1070
60.600002,1031
60.100002,1015
59.0,1062
58.0,1078
57.8,1046
58.600002,992
58.9,1007
58.7,1031
57.9,1070
57.100002,1085
57.4,1031
57.9,1015
57.8,1039
57.8,1039
58.3,1007
59.100002,984
59.0,1023
58.4,1054
57.7,1070
58.3,1007
58.7,1007
59.0,1007
59.2,1007
60.2,960
61.2,945
61.3,976
61.100002,992
60.8,1000
61.5,953
61.0,1000
60.7,1000
60.4,1007
60.7,976
61.100002,968
61.2,976
61.4,968
62.2,937
63.100002,921
63.2,945
62.5,984
61.5,1015
62.0,953
62.5,945
63.8,898
64.9,890
65.8,882
67.0,859
67.700005,867
68.0,875
68.200005,875
68.700005,859
68.3,890
67.700005,906
67.8,882
67.0,921
66.1,937
65.5,937
65.4,921
64.700005,953
64.0,960
63.7,953
64.3,914
64.9,906
65.5,898
67.0,851
67.8,859
68.4,859
68.5,875
68.9,859
67.9,914
66.4,953
66.3,906
65.200005,960
64.8,937
65.9,875
66.700005,804
68.700005,820
69.8,828
70.200005,843
69.5,882
68.700005,898
67.6,921
66.4,945
64.9,976
64.0,968
63.2,976
63.3,945
63.4,945
63.3,953
62.9,968
62.600002,968
62.100002,984
62.2,960
62.0,976
61.5,992
61.0,1000
60.8,992
61.5,953
62.100002,945
62.2,960
62.3,960
62.2,968
62.7,937
63.3,929
63.100002,960
62.5,984
62.0,984
62.3,953
62.4,960
62.7,945
64.1,890
65.3,882
66.1,882
67.6,843
67.700005,882
67.4,898
67.6,882
68.1,867
67.0,929
65.8,953
65.6,921
65.4,921
64.5,960
63.7,968
62.5,1007
61.600002,1007
62.2,945
62.4,953
62.4,960
62.100002,976
61.8,984
62.3,945
61.9,984
61.2,1007
60.4,1023
60.600002,984
61.5,945
62.100002,945
63.0,921
64.3,890
65.8,867
66.1,898
65.5,937
64.3,976
63.5,976
63.3,953
62.600002,984
62.3,976
62.5,953
64.0,890
64.8,898
65.0,914
64.9,929
64.6,937
63.5,984
62.4,1000
62.3,968
62.5,953
62.5,960
62.5,960
63.100002,929
63.7,921
63.5,953
62.7,984
62.2,984
62.100002,968
61.3,1007
60.8,1007
61.2,968
62.5,914
63.0,937
63.2,945
62.8,968
62.600002,968
62.9,945
62.5,976
61.600002,1007
61.9,960
62.7,929
63.100002,937
63.7,921
64.6,898
64.3,945
63.5,976
63.5,945
64.0,921
64.200005,929
64.3,929
65.1,898
64.9,929
65.1,914
66.0,882
66.1,906
66.1,906
66.1,906
65.9,914
64.9,960
63.9,976
63.8,945
62.8,992
62.100002,992
62.5,945
62.5,960
62.7,953
63.600002,914
64.4,906
64.3,937
63.9,953
63.5,960
63.5,945
63.2,960
63.0,960
64.0,906
64.5,914
64.700005,921
64.5,937
65.4,890
65.3,921
64.5,960
63.4,984
63.4,945
63.3,953
63.7,929
64.0,929
65.700005,859
66.9,859
67.1,890
66.8,906
66.0,937
65.9,914
65.200005,945
64.5,953
64.8,914
65.9,875
66.700005,875
67.6,859
69.5,812
71.5,789
72.9,789
73.700005,796
74.4,789
73.8,828
72.8,851
71.4,882
70.6,875
70.0,875
69.200005,890
68.1,914
67.3,914
67.5,882
68.200005,859
68.3,875
67.8,898
67.1,914
67.4,882
67.8,875
67.5,898
66.3,945
65.6,937
65.4,921
64.8,945
64.3,953
64.9,906
65.700005,890
66.6,875
66.8,890
67.5,867
68.0,867
67.6,898
66.8,921
65.700005,953
65.5,921
65.700005,906
66.0,898
67.4,851
69.4,812
71.200005,796
72.9,781
73.8,789
74.5,789
75.700005,765
75.4,804
75.200005,804
75.0,804
74.700005,812
75.6,773
76.700005,757
77.5,757
78.0,757
76.8,812
76.8,898
75.700005,921
74.200005,921
71.5,921
70.1,898
69.1,898
67.9,921
66.9,929
65.4,968
65.200005,929
64.200005,968
63.2,984
62.7,976
63.3,929
63.7,929
64.6,898
66.4,851
67.6,851
67.700005,882
66.8,929
66.1,1023
64.6,984
64.1,953
63.8,953
63.3,968
62.9,968
62.8,960
63.600002,914
64.6,898
64.8,921
64.3,953
62.9,1007
61.8,1015
61.100002,1007
61.5,960
62.600002,921
63.2,929
63.3,945
62.8,976
61.8,1007
61.3,1000
61.8,953
62.3,945
62.8,937
63.3,929
64.4,898
64.9,906
64.8,929
63.7,984
62.5,1007
62.0,984
62.5,945
62.3,968
62.2,968
62.3,960
62.8,937
64.0,898
64.8,898
64.9,921
63.7,984
62.5,1007
61.100002,1039
60.0,1046
60.3,984
61.4,937
62.5,921
63.600002,906
64.4,906
64.8,914
64.9,921
65.3,906
65.6,906
65.1,937
64.5,953
64.200005,945
65.0,898
66.3,867
66.8,882
67.0,890
66.3,929
65.3,953
65.6,906
66.1,890
66.3,898
66.5,898
66.8,890
67.700005,859
67.6,890
67.200005,906
66.6,921
66.0,929
66.200005,898
67.3,859
68.5,843
69.1,851
69.1,867
