average,rrData
55.0,1093
55.100002,1085
55.3,1078
55.3,1085
55.5,1070
55.9,1054
56.4,1046
56.9,1031
57.600002,1015
57.9,1023
57.5,1062
57.2,1062
56.5,1093
55.3,1140
54.8,1117
54.0,1148
53.4,1156
53.4,1125
52.9,1156
52.7,1148
52.8,1132
52.7,1140
52.7,1140
52.9,1125
53.3,1109
53.100002,1140
52.9,1140
52.7,1148
52.7,1140
53.100002,1109
53.5,1101
53.7,1109
53.600002,1125
53.5,1125
53.100002,1148
53.2,1125
53.5,1109
53.2,1140
52.8,1156
53.0,1125
52.7,1156
52.600002,1148
52.9,1117
53.0,1125
52.9,1140
52.8,1140
52.9,1132
52.8,1140
52.9,1132
53.3,1109
53.4,1117
53.5,1117
53.600002,1117
54.0,1093
53.8,1125
53.4,1140
53.5,1117
53.8,1101
53.600002,1132
53.4,1132
53.600002,1109
53.8,1109
53.8,1117
53.9,1109
54.2,1093
54.0,1117
53.7,1132
53.8,1109
54.0,1101
53.600002,1140
53.3,1140
53.100002,1140
53.4,1109
53.2,1140
52.600002,1171
52.100002,1179
52.5,1125
52.2,1164
52.100002,1156
52.3,1140
52.5,1132
52.4,1148
52.5,1140
53.0,1109
52.7,1156
52.3,1164
52.4,1140
52.600002,1132
52.5,1148
52.7,1132
52.3,1164
52.0,1171
51.8,1171
52.0,1140
51.7,1179
51.5,1179
51.7,1148
51.600002,1164
51.600002,1164
52.0,1132
52.100002,1148
51.7,1179
52.0,1140
52.0,1156
51.7,1179
51.3,1187
51.7,1140
51.5,1171
51.4,1171
51.9,1132
52.3,1125
53.600002,1062
54.4,1070
55.2,1054
56.5,1007
56.5,820
56.5,648
56.5,875
56.5,546
56.5,375
55.8,1109
56.9,1007
56.7,1070
56.0,1101
55.100002,1132
54.3,1140
53.8,1140
53.100002,1164
52.600002,1164
52.8,1125
52.7,1140
52.5,1156
52.5,1140
52.7,1125
52.600002,1148
52.4,1156
52.2,1156
52.5,1125
52.3,1156
52.4,1140
52.4,1148
52.5,1140
52.0,1179
51.7,1179
51.9,1148
51.9,1156
51.7,1171
51.5,1171
51.3,1179
51.7,1140
52.0,1140
52.0,1156
51.8,1171
52.2,1132
52.4,1132
52.4,1148
52.4,1148
52.8,1117
53.0,1125
53.2,1117
53.4,1117
53.9,1093
54.0,1109
53.9,1117
53.7,1125
53.9,1101
54.0,1109
54.0,1109
54.2,1101
54.4,1093
54.4,1101
54.4,1101
54.600002,1093
54.7,1093
54.600002,1101
54.4,1109
54.8,1078
54.7,1101
54.600002,1101
54.7,1093
55.0,1078
55.0,1093
54.8,1101
54.7,1101
54.600002,1101
54.3,1117
54.100002,1117
54.2,1101
54.0,1117
53.9,1117
54.0,1109
54.4,1085
54.4,1101
54.100002,1125
54.100002,1109
54.2,1101
54.2,1109
53.8,1132
54.0,1101
53.8,1125
53.4,1140
53.3,1132
53.5,1109
53.600002,1117
53.4,1132
53.4,1125
53.7,1101
53.8,1109
54.0,1101
54.3,1093
54.5,1093
54.600002,1093
54.8,1085
55.100002,1078
55.2,1085
55.2,1085
55.7,1054
56.2,1046
56.8,1031
57.0,1046
57.100002,1046
57.9,1007
57.100002,1085
56.2,1109
55.8,1093
55.3,1109
54.600002,1132
54.3,1117
53.9,1132
53.7,1125
53.9,1101
54.3,1085
54.600002,1085
54.7,1093
54.9,1085
54.9,1093
54.9,1093
54.7,1109
54.8,1093
55.0,1085
54.7,1109
54.7,445
54.7,679
54.2,1132
54.0,1117
53.5,1148
52.9,1164
52.600002,1156
52.2,1171
52.100002,1156
52.2,1148
52.3,1140
52.4,1140
52.7,1125
53.100002,1109
53.3,1117
53.5,1109
53.8,1101
53.9,1109
53.600002,1132
53.8,1109
53.600002,1132
53.2,1148
