average,rrData
66.5,936
66.8,888
67.200005,880
67.9,864
68.4,864
68.9,856
68.5,888
70.5,800
71.4,816
72.5,800
72.8,816
72.200005,848
71.4,864
69.700005,912
69.8,856
68.8,904
68.4,888
68.200005,888
68.200005,880
67.700005,904
68.0,872
67.9,888
68.0,880
67.9,888
67.8,888
69.1,832
69.8,840
69.3,880
69.0,880
68.0,912
66.8,936
66.700005,904
65.9,936
65.700005,920
64.9,952
66.5,856
66.5,904
66.1,920
66.0,912
66.3,896
66.1,912
65.5,936
64.0,992
64.200005,928
64.5,920
63.9,960
63.600002,952
63.0,976
62.2,992
63.5,904
63.2,960
63.100002,952
62.5,984
61.7,1000
61.600002,976
61.100002,1000
60.600002,1008
60.3,1008
61.4,936
61.600002,968
61.9,960
61.8,976
61.7,976
61.600002,976
61.600002,976
61.3,992
62.0,944
61.8,976
62.2,952
62.100002,968
61.600002,992
63.0,904
64.0,904
64.9,896
64.700005,936
64.5,936
63.9,960
63.2,976
63.0,960
62.8,960
62.600002,968
62.9,944
63.100002,944
63.3,944
65.0,872
65.0,264
65.0,648
64.700005,936
65.0,912
65.0,736
65.0,264
66.0,880
66.1,904
66.1,528
66.1,392
67.1,864
66.4,928
67.9,840
68.0,880
68.1,880
68.700005,856
68.200005,896
68.0,888
67.0,928
67.0,896
66.8,904
66.3,920
66.5,896
66.0,928
64.8,968
64.6,936
63.7,976
64.700005,896
65.200005,904
64.9,936
65.200005,912
64.9,936
64.200005,960
64.9,904
64.3,952
63.9,952
63.3,968
63.4,944
64.700005,888
64.4,944
64.5,928
64.0,952
64.0,416
64.0,528
64.4,920
63.7,968
64.0,928
63.4,968
63.0,968
62.7,968
62.5,968
64.0,888
64.9,896
66.700005,848
66.8,896
66.9,896
66.4,920
66.4,904
66.8,888
67.4,872
67.8,872
69.5,816
70.700005,816
72.200005,792
71.8,848
70.5,888
68.4,944
66.8,952
65.200005,976
64.200005,968
63.8,952
64.200005,920
65.200005,888
66.1,880
66.9,872
67.1,888
67.8,864
68.5,792
70.700005,792
72.200005,792
73.5,784
74.200005,792
75.6,760
76.1,776
76.200005,784
75.8,800
75.3,808
73.700005,856
73.200005,832
72.700005,840
71.0,896
70.5,864
71.0,832
71.5,824
72.3,808
73.1,800
73.5,808
72.3,864
72.200005,832
71.200005,872
70.9,856
70.700005,856
70.3,864
69.3,896
69.0,880
68.8,880
69.8,832
69.9,856
70.0,856
69.5,880
68.200005,920
67.3,920
66.5,928
67.0,880
66.0,944
66.5,888
66.1,920
65.200005,952
64.700005,944
64.700005,928
64.9,920
64.700005,936
64.4,944
63.2,992
62.7,976
63.600002,912
64.3,912
63.600002,968
62.8,984
62.100002,992
61.5,1000
61.2,992
61.9,944
62.9,920
63.100002,944
62.600002,976
61.8,1000
61.3,1000
60.9,1000
60.600002,1000
60.7,984
60.9,976
62.0,928
62.8,928
62.4,976
61.8,992
61.0,1016
60.5,1008
59.5,1048
59.5,1008
59.0,1040
59.600002,984
60.0,984
60.2,992
61.0,952
61.9,936
61.8,976
61.4,992
60.8,1008
60.100002,1024
59.9,1008
59.7,1016
59.5,1016
59.0,1040
59.5,992
60.600002,952
62.0,920
62.3,952
61.9,984
61.3,1000
60.100002,1048
59.5,1032
60.4,960
60.0,1016
60.5,976
60.2,1008
59.9,1016
60.5,968
60.7,984
60.5,1000
60.100002,1016
60.5,976
61.4,944
62.100002,944
61.5,1000
60.600002,1024
60.0,1024
59.7,1016
59.100002,1040
58.9,1024
60.600002,928
61.5,944
61.8,960
61.600002,984
61.4,984
62.4,928
62.8,944
62.600002,968
62.4,968
62.3,968
61.9,984
62.600002,936
64.1,888
65.700005,864
66.5,880
66.1,920
64.6,984
62.5,1040
61.2,1032
60.3,1032
59.8,1024
59.4,1024
59.3,1016
59.4,1008
60.3,960
61.8,920
63.0,912
63.2,944
63.0,960
62.8,960
61.5,1024
60.9,1008
60.2,1024
60.0,1008
61.100002,944
61.2,976
61.100002,984
60.600002,1008
60.100002,1016
59.5,1032
59.100002,1032
58.9,1024
58.8,1024
60.4,936
61.4,944
62.7,912
63.5,920
63.0,968
62.100002,1000
60.7,1048
59.2,1080
58.7,1040
58.8,1016
58.9,1016
58.100002,1064
58.0,1040
57.9,1040
58.4,1008
60.0,944
61.100002,944
60.8,1000
61.0,976
60.7,1000
60.2,1016
59.9,1016
59.4,1032
59.2,1024
59.2,1016
60.3,952
61.3,944
61.5,968
61.5,976
60.9,1008
60.2,1024
60.3,992
60.2,1000
60.3,992
60.7,976
62.600002,896
64.5,872
66.200005,856
66.4,896
66.200005,912
64.9,968
64.200005,960
64.9,904
63.4,1000
62.4,1000
61.7,1000
62.3,944
62.8,936
62.7,960
62.8,952
62.600002,968
63.100002,936
62.600002,976
62.100002,984
61.5,1000
60.8,1016
60.9,984
60.600002,1000
60.600002,992
60.600002,992
60.600002,992
60.3,1008
59.8,1024
59.7,1008
60.4,968
62.0,912
61.8,976
62.0,960
61.2,1008
60.600002,1016
60.7,984
60.600002,992
61.0,968
60.5,1008
60.8,976
61.5,952
61.7,968
62.100002,952
61.5,1000
61.8,960
61.4,992
62.2,936
62.8,936
62.9,952
62.8,960
62.9,952
63.4,928
64.700005,888
64.700005,928
65.200005,904
63.8,992
63.0,984
63.7,920
63.8,936
63.0,984
62.8,960
62.600002,968
62.0,992
62.3,952
62.5,952
61.7,1000
60.600002,1032
60.100002,1016
60.8,960
60.0,1032
59.8,1008
61.100002,936
61.2,976
60.7,1008
60.3,1008
61.0,960
62.4,912
62.9,936
62.9,952
62.8,960
62.600002,968
62.100002,984
62.600002,944
62.3,976
62.100002,976
61.8,984
61.4,992
61.100002,992
60.600002,1008
60.3,1008
60.7,976
61.2,960
61.0,992
60.3,1024
60.2,1000
60.600002,976
60.100002,1016
59.9,1008
60.4,976
60.9,968
61.5,952
61.0,1000
60.5,1008
62.100002,912
63.4,904
64.700005,888
64.4,944
64.0,952
63.100002,984
61.7,1024
60.8,1024
60.100002,1024
59.8,1016
59.600002,1016
59.4,1016
59.3,1016
59.2,1016
59.2,1016
59.3,1008
59.4,1008
59.4,1008
60.3,960
61.4,936
62.5,920
62.7,952
62.0,992
61.5,992
60.8,1016
60.100002,1024
59.600002,1024
60.0,984
60.3,984
61.100002,952
61.4,968
61.9,952
62.100002,960
62.4,952
63.600002,904
63.8,936
64.9,888
65.4,904
64.5,960
63.7,968
63.2,968
62.7,976
63.8,904
63.7,944
63.2,968
63.100002,952
62.8,968
62.600002,968
62.9,944
63.600002,920
63.8,936
63.9,936
64.0,936
63.7,952
64.0,928
64.9,896
65.9,880
65.9,912
65.9,912
64.4,984
64.3,936
64.200005,936
63.8,952
63.4,960
63.100002,960
63.100002,952
63.7,920
64.9,888
64.8,928
65.8,880
64.700005,968
64.5,936
63.100002,1000
62.9,960
63.8,912
64.1,928
64.3,928
63.9,952
63.2,976
62.4,992
61.5,1008
60.9,1008
60.8,992
60.7,992
60.8,984
61.0,976
62.100002,928
64.1,872
65.5,872
66.3,880
65.6,936
64.700005,960
64.0,960
63.2,976
62.2,1000
61.5,1000
60.9,1008
60.600002,1000
61.3,952
62.100002,936
62.2,960
62.8,936
62.9,952
63.600002,920
64.6,896
65.0,912
66.0,880
65.1,952
64.3,960
63.8,960
63.4,960
63.100002,960
62.8,968
62.600002,968
62.600002,960
62.600002,960
62.9,944
62.2,992
63.5,904
63.5,944
64.6,896
64.3,944
64.200005,936
64.4,928
64.6,920
64.6,928
65.700005,880
66.6,872
67.4,864
68.0,864
68.8,848
69.200005,856
69.3,864
69.0,880
69.3,856
69.3,864
68.8,888
68.1,904
67.4,912
67.1,904
67.3,888
66.200005,944
65.9,920
66.1,904
66.0,912
66.3,896
66.3,904
66.700005,888
67.9,848
68.200005,872
67.700005,904
67.3,904
67.200005,896
66.8,912
66.200005,928
65.700005,928
65.9,904
66.1,904
66.4,896
66.4,904
66.9,880
66.9,896
66.700005,904
66.200005,920
66.3,904
65.8,928
65.3,936
65.1,928
65.0,928
64.700005,936
64.5,936
64.700005,920
65.200005,904
65.0,928
65.200005,912
63.8,992
63.7,944
63.5,952
63.5,944
63.5,944
64.200005,912
64.200005,936
65.0,896
64.700005,936
65.6,888
65.3,928
65.3,920
65.3,920
65.5,912
64.6,960
64.4,936
64.3,936
64.9,904
66.1,872
65.8,920
66.3,888
67.200005,864
68.700005,832
70.1,816
70.3,848
69.8,872
69.700005,864
68.9,896
69.3,856
