average,rrData
58.0,1023
57.8,1046
58.9,976
60.9,914
62.5,906
63.2,859
64.8,875
65.9,875
68.1,820
68.1,882
68.4,867
68.5,875
69.1,851
69.5,851
69.8,851
70.200005,843
70.5,843
70.3,859
69.8,875
69.6,867
69.1,882
68.200005,906
68.0,890
68.0,882
67.6,898
66.8,921
66.3,921
65.9,921
66.200005,898
66.6,890
67.4,867
67.9,867
67.6,898
67.0,914
66.9,898
66.4,921
65.700005,937
65.200005,937
65.5,906
65.200005,929
64.700005,945
64.3,945
64.4,929
64.3,937
64.4,929
64.8,914
64.6,937
64.6,929
64.8,921
65.0,914
66.4,859
66.700005,890
65.3,968
64.3,968
63.0,1000
62.5,976
62.5,960
63.4,914
64.1,914
65.3,882
65.8,898
66.3,890
66.1,914
66.1,906
66.1,906
66.3,898
65.9,921
65.700005,921
65.5,921
65.4,921
65.8,898
66.3,890
67.0,875
68.3,843
69.0,851
69.5,851
69.6,859
70.1,843
69.8,867
69.8,859
69.8,859
70.6,828
70.8,843
71.5,820
71.8,828
73.1,789
74.200005,781
75.0,781
75.3,789
74.9,812
74.8,804
75.4,781
76.1,773
76.1,789
75.9,796
75.3,812
74.3,835
73.4,843
72.5,851
72.5,828
72.3,835
72.200005,835
73.6,781
74.8,773
74.3,820
73.4,843
72.5,851
71.5,867
70.8,867
70.3,867
70.4,851
69.9,875
69.0,898
68.0,914
67.5,906
66.6,929
66.1,921
65.5,937
65.200005,929
64.700005,945
64.700005,929
64.3,945
64.1,945
64.4,921
64.5,929
65.0,906
65.200005,914
65.200005,921
65.700005,898
65.700005,914
65.5,921
65.200005,929
65.9,890
66.700005,875
67.1,882
67.6,875
68.1,867
69.0,843
69.700005,843
70.200005,843
71.5,804
72.9,789
73.200005,812
72.4,851
70.9,890
69.700005,898
68.6,906
67.4,929
66.700005,921
66.5,906
67.3,867
68.5,843
68.3,882
68.0,890
67.6,898
67.700005,882
67.6,890
67.200005,906
66.700005,914
66.200005,921
66.6,890
66.1,921
65.5,937
65.4,921
64.8,945
64.3,953
63.9,953
63.9,937
63.9,937
65.1,882
66.200005,875
66.9,875
68.4,835
69.8,820
69.8,859
68.5,914
67.8,906
67.0,921
67.3,882
67.700005,875
67.8,882
67.700005,890
66.9,921
66.4,921
66.0,921
65.200005,945
64.8,937
64.6,937
65.1,906
65.6,898
65.8,906
66.5,882
67.5,859
67.700005,882
67.6,890
67.5,890
66.9,914
66.9,898
66.9,898
66.5,914
66.8,890
66.8,898
67.3,875
67.700005,875
68.0,875
68.0,882
68.4,867
68.5,875
68.200005,890
67.4,914
67.0,906
67.1,890
66.8,906
66.4,914
66.5,898
66.6,898
66.700005,898
66.700005,898
67.1,882
67.200005,890
67.3,890
67.1,898
68.1,851
68.4,867
68.1,890
67.700005,898
66.9,921
67.200005,882
67.6,875
68.3,859
68.8,859
69.3,851
69.9,843
69.1,890
68.6,890
68.1,898
68.4,867
68.1,890
68.1,882
68.1,882
68.8,851
68.9,867
69.200005,859
69.6,851
70.3,835
70.6,843
70.8,843
71.1,835
71.700005,820
71.8,835
71.0,867
70.5,867
69.700005,882
69.4,875
69.0,882
68.700005,882
69.200005,851
69.8,843
70.0,851
69.8,867
69.4,875
69.9,843
69.5,875
68.9,890
69.0,867
69.5,851
68.9,890
69.0,867
69.200005,859
69.4,859
69.700005,851
69.9,851
70.5,835
71.1,773
72.4,796
73.1,804
73.3,812
74.1,789
73.8,820
73.200005,835
73.200005,820
73.0,828
72.5,843
72.700005,820
73.1,812
73.8,796
74.5,789
74.8,796
75.0,796
74.9,804
74.6,812
74.200005,820
73.700005,828
72.700005,851
71.8,859
71.0,867
70.5,867
70.700005,843
70.4,859
70.4,851
70.6,843
71.0,835
71.3,835
71.5,835
71.200005,851
71.0,851
70.8,851
70.700005,851
71.5,820
71.4,843
71.9,820
72.3,820
72.6,820
73.0,812
72.5,843
71.9,851
72.1,828
72.6,812
73.0,812
73.3,812
73.3,820
73.1,828
73.1,820
72.5,843
72.5,828
71.9,851
71.3,859
71.1,851
71.1,843
70.5,867
70.5,851
70.700005,843
70.4,859
70.0,867
69.6,875
70.3,835
70.8,835
70.0,882
69.200005,890
69.200005,867
69.4,859
70.3,828
71.6,804
73.4,773
74.200005,789
75.0,781
74.9,804
74.0,835
72.0,890
70.1,914
68.9,906
68.3,898
68.0,890
68.4,867
69.5,835
69.8,851
70.200005,843
70.700005,835
70.6,851
70.6,851
70.8,843
71.3,828
72.1,812
71.6,851
71.5,843
70.8,867
70.0,882
69.0,898
68.3,898
68.0,890
69.0,843
70.1,828
70.0,859
69.0,898
68.0,914
67.3,914
66.6,921
66.0,929
66.1,906
67.200005,859
67.3,890
66.6,921
65.8,937
65.0,953
64.1,968
63.8,953
64.200005,921
63.5,968
62.600002,992
62.0,992
61.4,1000
61.100002,992
61.8,945
62.3,945
61.9,984
61.600002,984
61.600002,976
62.0,953
62.5,945
62.5,960
62.5,960
63.0,937
63.2,945
63.8,921
64.700005,898
64.5,937
64.0,953
63.7,953
63.5,953
63.3,953
64.4,898
65.700005,875
65.5,921
65.0,937
64.200005,960
62.9,1000
62.2,992
62.0,976
62.0,968
61.3,1007
61.2,984
61.3,976
62.0,945
63.100002,914
63.9,914
63.2,976
62.7,976
62.0,992
61.7,984
61.8,968
62.3,945
62.2,968
62.100002,968
62.2,960
62.7,937
62.8,953
62.7,960
62.8,953
63.3,929
64.200005,906
65.5,875
66.3,882
66.3,906
66.1,914
65.9,914
66.0,906
66.6,882
66.1,921
65.6,929
65.0,945
64.5,945
64.200005,945
64.8,906
64.6,937
64.6,929
65.6,882
66.3,820
67.700005,773
70.200005,789
71.3,812
72.1,812
70.9,882
69.0,929
67.8,921
66.700005,937
66.1,929
66.3,898
66.5,898
65.9,929
66.0,906
66.1,906
65.9,914
65.700005,921
65.5,921
64.9,945
62.9,1031
60.9,1070
60.9,984
61.4,960
62.4,929
63.100002,929
63.600002,929
64.4,906
64.9,906
65.5,898
65.700005,906
65.9,906
65.8,914
65.9,906
66.0,906
65.9,914
66.0,906
65.9,914
66.0,906
66.1,906
66.3,898
66.5,898
67.0,882
67.3,882
67.5,882
67.8,875
68.0,875
68.200005,875
68.3,875
68.4,875
68.5,875
68.5,875
68.5,875
68.3,882
68.200005,882
68.1,882
68.1,882
68.1,882
68.3,875
68.6,867
68.8,867
68.700005,875
68.700005,875
68.5,882
68.0,898
67.6,898
67.200005,906
67.1,898
67.200005,890
67.3,890
67.3,890
67.1,898
67.200005,890
67.3,890
67.1,898
