average,rrData
98.6,616
98.200005,616
98.0,616
97.5,624
96.4,640
96.3,624
95.9,632
96.0,624
96.4,616
97.5,600
99.5,576
100.5,584
101.200005,584
101.9,552
102.6,576
104.4,552
105.200005,560
103.6,600
104.700005,560
106.4,544
105.3,584
103.700005,600
102.200005,608
102.8,576
103.200005,576
103.9,568
104.700005,536
105.4,560
107.9,528
109.6,528
110.8,528
111.6,528
112.700005,520
113.0,528
112.700005,536
113.0,528
113.200005,528
113.3,528
112.9,536
113.700005,520
113.700005,528
112.200005,552
113.700005,512
112.700005,544
113.0,528
114.8,504
113.4,544
113.5,528
113.0,536
113.200005,528
112.8,536
112.5,536
111.8,544
110.9,552
110.700005,544
111.1,536
111.3,536
113.1,512
113.3,528
114.5,512
115.3,512
115.9,512
117.4,496
117.3,512
116.200005,528
118.200005,488
117.9,512
116.1,536
118.200005,488
119.0,496
118.5,512
118.1,512
118.4,504
117.5,552
116.9,520
117.0,512
117.1,512
118.3,496
119.700005,488
120.700005,488
122.0,480
122.3,488
123.1,480
123.1,488
125.0,464
125.0,480
126.3,464
125.3,488
125.8,472
127.5,456
128.0,464
127.700005,472
128.2,464
126.6,488
128.1,456
127.200005,480
125.3,496
126.5,464
125.8,504
126.0,456
127.0,464
126.4,480
127.3,464
128.1,440
127.200005,480
129.2,448
129.2,464
128.6,472
129.6,432
130.2,456
129.3,472
131.40001,440
130.8,464
130.3,464
129.3,472
129.3,464
127.4,488
129.40001,448
129.40001,464
128.6,496
127.5,480
128.7,456
126.4,496
126.9,448
125.700005,488
127.5,456
126.700005,480
128.2,456
128.5,464
129.40001,456
130.1,456
131.2,448
131.3,456
132.1,448
132.6,448
131.6,464
130.90001,464
129.8,472
129.6,464
130.2,456
129.90001,464
130.40001,456
130.8,456
130.3,464
129.6,488
128.8,472
127.700005,480
128.2,464
126.6,488
127.4,464
128.2,440
128.5,464
129.40001,456
129.40001,464
130.1,456
129.90001,464
130.40001,456
130.8,456
130.3,464
130.7,456
131.7,448
130.3,472
132.1,440
131.5,480
131.0,520
128.6,488
128.40001,528
128.2,512
128.1,512
126.6,488
125.5,488
125.3,480
127.200005,456
127.200005,472
126.5,480
127.200005,448
127.8,464
127.6,472
126.8,480
128.90001,448
129.7,456
128.3,480
129.1,440
129.2,464
128.6,472
129.5,456
130.8,448
131.7,448
131.7,456
133.90001,432
131.90001,472
131.8,456
131.0,464
131.90001,448
130.5,472
132.3,440
132.1,456
132.6,448
133.0,448
131.90001,464
133.3,440
132.8,456
132.40001,456
132.2,456
132.0,456
131.2,464
132.8,440
132.40001,456
132.90001,448
132.90001,416
134.0,440
133.3,456
135.0,432
135.40001,440
136.5,432
137.2,416
137.7,432
138.1,432
137.6,440
137.2,440
136.6,464
135.2,480
134.1,456
134.0,448
131.90001,472
130.7,496
129.6,472
129.0,512
129.1,464
127.3,488
126.0,488
126.6,448
127.4,464
127.3,472
129.3,448
130.0,456
129.8,464
130.3,456
132.1,440
133.0,424
134.0,440
135.5,432
135.1,464
135.5,440
135.0,448
134.7,448
133.8,456
134.5,424
134.3,448
134.2,448
132.7,464
132.40001,456
132.2,456
132.7,448
133.1,448
133.3,448
133.5,448
135.1,432
135.90001,416
136.8,432
135.90001,448
136.2,408
135.5,448
136.5,432
137.2,432
137.0,440
136.8,440
135.90001,448
136.7,416
136.6,440
136.5,440
135.0,456
137.0,424
136.40001,464
135.0,456
136.2,432
135.5,448
134.3,456
133.5,456
134.2,424
133.40001,456
134.3,440
134.90001,440
136.1,432
137.7,424
139.7,416
138.7,440
139.5,408
140.90001,416
141.1,424
141.2,424
139.8,440
140.8,400
139.5,440
141.8,408
142.5,416
143.0,416
142.5,440
143.90001,408
142.40001,432
141.5,448
140.0,464
137.90001,480
134.7,472
133.8,456
132.40001,464
130.2,480
129.3,472
127.4,488
128.1,440
129.2,456
130.6,448
130.2,464
131.1,432
131.3,456
131.40001,456
132.2,448
132.0,456
132.6,448
130.90001,472
131.7,432
130.3,472
131.40001,448
132.2,448
133.2,424
132.7,456
133.8,440
135.3,432
136.3,416
137.90001,424
139.0,424
138.2,440
140.0,416
141.0,400
139.6,440
140.90001,400
141.1,424
141.2,424
141.7,456
141.0,456
140.5,512
140.2,528
140.0,576
139.8,520
139.7,488
139.6,512
139.5,504
139.5,472
139.5,504
139.5,488
139.5,480
139.5,464
139.5,488
139.5,496
138.8,456
137.6,464
135.1,464
134.0,456
133.3,456
132.8,456
131.7,464
132.3,432
132.8,448
133.1,448
133.3,448
131.40001,472
132.40001,424
133.6,440
132.3,464
132.6,416
132.3,456
133.3,424
135.0,432
137.0,424
139.2,416
139.40001,392
138.5,440
139.3,408
141.0,392
142.0,416
143.5,408
144.6,408
145.7,392
147.90001,392
147.7,424
146.6,416
146.8,408
146.0,416
143.90001,432
143.8,456
143.8,488
143.8,456
143.8,488
143.8,472
143.8,472
143.8,456
143.8,456
143.8,456
142.90001,448
140.90001,440
141.1,424
140.8,464
140.2,432
139.8,432
139.7,400
140.2,424
141.40001,416
142.2,416
141.2,432
141.2,392
142.1,416
141.90001,424
142.6,400
143.1,416
142.7,440
143.2,416
144.40001,408
144.3,416
143.5,424
141.40001,440
142.2,416
142.8,416
142.8,392
143.2,416
145.2,400
144.1,424
145.0,408
145.7,392
146.1,408
147.3,400
146.40001,416
147.5,400
149.2,392
149.3,432
148.40001,432
148.0,408
146.90001,432
144.5,432
143.90001,456
141.6,440
140.0,440
138.90001,440
139.6,408
138.6,440
138.7,432
138.2,456
139.2,424
137.6,448
138.1,416
139.1,424
139.0,432
139.8,424
140.3,424
140.7,424
140.2,432
138.3,448
139.1,408
139.0,432
139.0,432
139.0,432
139.0,432
138.2,440
138.40001,432
139.3,424
138.6,456
139.5,424
140.1,424
139.90001,400
139.6,432
140.2,408
141.40001,400
141.40001,424
143.1,408
145.2,400
146.6,400
146.8,376
147.8,400
145.90001,424
145.40001,416
145.90001,408
146.6,392
146.8,408
147.1,448
146.0,448
144.2,456
141.1,448
139.40001,464
137.1,488
134.1,472
131.40001,480
130.8,464
130.90001,440
129.1,480
129.2,464
128.6,472
129.5,456
129.40001,464
130.1,456
131.2,448
132.0,448
132.0,416
134.1,432
134.0,448
134.7,424
135.90001,416
137.6,424
136.5,448
138.8,416
138.8,432
138.8,432
138.3,456
138.6,416
138.1,456
139.1,424
138.0,464
139.1,424
139.0,432
136.8,456
136.6,408
135.8,448
136.5,416
138.0,424
136.8,448
139.0,416
139.8,424
140.3,424
138.40001,448
139.2,408
139.1,432
137.5,448
139.5,416
137.8,448
138.7,408
138.8,432
137.3,448
139.40001,416
139.2,432
139.1,432
138.3,440
136.3,456
137.1,432
137.6,432
138.0,432
138.3,432
139.1,408
138.3,440
138.7,400
140.40001,416
139.2,440
140.0,408
138.90001,440
139.7,424
141.90001,408
142.1,456
140.40001,440
139.2,440
140.7,416
139.90001,456
140.1,408
139.7,432
139.5,432
139.3,432
140.8,416
141.0,424
141.2,424
141.3,424
140.6,448
141.7,416
143.3,408
143.6,416
143.8,416
143.1,424
143.40001,416
143.6,416
143.8,416
142.3,432
143.0,400
143.40001,416
143.7,448
143.90001,416
143.2,424
143.5,416
142.1,432
141.90001,424
142.7,400
142.3,424
141.3,432
141.40001,424
141.40001,424
141.40001,424
142.2,416
142.8,416
140.90001,440
141.90001,416
142.7,400
143.2,416
143.5,416
144.6,408
145.40001,408
145.90001,408
145.3,432
145.0,416
144.8,416
143.8,424
144.8,408
144.7,456
143.0,432
142.5,424
141.7,448
139.40001,448
138.5,440
137.90001,440
137.40001,440
135.7,456
137.40001,424
136.3,448
136.3,440
135.6,448
133.7,464
135.3,432
135.3,280
135.3,264
135.3,352
134.2,456
135.6,432
135.8,440
136.7,432
137.40001,416
136.3,448
137.90001,424
138.1,400
139.1,424
139.0,432
139.1,392
140.6,416
141.7,416
142.5,416
142.2,424
141.2,432
139.8,440
139.0,456
137.6,472
135.6,488
133.5,488
131.0,512
128.5,512
125.1,512
123.3,504
122.6,496
123.3,480
121.5,512
122.0,488
123.5,472
122.1,504
122.700005,464
123.4,480
124.6,448
126.700005,456
126.8,472
127.9,440
127.700005,472
129.1,432
130.5,448
131.5,448
130.8,464
131.7,448
132.0,416
131.90001,456
134.0,432
135.5,432
137.3,424
138.6,424
138.6,400
138.7,432
140.40001,416
142.40001,408
143.40001,392
142.8,424
145.0,400
146.5,400
146.7,408
147.7,384
147.5,408
148.3,400
147.1,416
146.5,432
146.1,464
144.8,448
142.3,440
141.6,480
139.8,480
137.6,480
135.40001,480
133.0,496
131.2,472
130.0,472
129.8,464
130.0,440
130.5,456
128.8,480
129.8,432
131.8,440
133.2,440
133.40001,448
132.90001,456
133.8,424
133.8,448
132.40001,464
132.90001,448
133.2,448
134.2,440
134.3,336
134.40001,408
133.6,480
133.7,432
133.7,408
133.8,448
133.8,400
134.5,424
135.8,432
136.8,416
139.0,416
139.5,384
140.1,424
142.2,408
142.40001,384
142.5,392
142.6,392
144.0,408
144.1,416
144.90001,392
146.3,384
145.7,416
146.40001,376
147.5,400
148.3,400
147.90001,408
147.2,432
145.90001,440
144.2,448
142.2,456
139.7,448
138.7,440
137.3,448
137.8,432
138.1,432
137.1,464
137.6,432
137.90001,416
138.2,432
137.7,440
138.1,432
136.8,448
137.40001,432
139.40001,416
138.5,440
137.90001,440
136.7,448
137.40001,432
139.40001,416
140.0,424
138.2,448
139.0,408
138.2,440
139.3,408
140.0,424
141.3,416
140.6,432
141.6,400
140.8,432
142.0,400
142.7,416
141.6,432
141.6,424
141.90001,392
141.0,432
142.0,416
141.8,424
141.7,424
140.90001,432
139.5,440
140.2,408
139.8,432
138.8,440
138.8,432
139.0,400
138.2,440
140.0,416
140.90001,400
141.90001,416
142.6,416
142.3,424
142.1,424
140.40001,440
138.40001,448
138.6,432
140.3,416
139.1,440
139.0,432
139.0,432
138.2,440
137.40001,464
137.1,440
135.40001,456
135.1,488
135.5,440
133.6,464
132.3,464
132.1,456
130.0,480
130.5,456
130.8,456
131.7,448
131.7,456
131.7,456
131.7,456
130.3,472
131.1,432
132.7,440
133.8,440
133.1,456
133.3,416
133.5,448
133.6,448
133.0,456
132.6,456
130.90001,472
131.1,456
131.8,432
131.7,456
130.3,472
131.40001,448
133.7,432
133.8,448
133.8,448
133.1,456
131.3,472
132.1,448
133.40001,440
135.1,432
135.5,440
135.8,440
135.2,448
133.40001,464
133.6,448
133.7,448
134.40001,424
132.90001,464
134.0,440
134.0,448
134.7,440
136.0,432
135.2,472
134.1,456
132.7,464
133.1,432
132.6,456
130.90001,472
132.6,440
132.0,480
130.5,472
131.5,448
129.5,480
129.40001,464
129.40001,464
130.8,448
131.5,432
132.2,448
131.3,464
131.5,416
133.0,440
133.3,448
133.40001,416
135.1,432
136.2,432
136.3,440
136.3,440
135.6,448
134.8,472
133.8,456
