average,rrData
71.700005,835
71.8,835
71.8,835
71.8,835
71.8,835
72.0,828
72.200005,828
71.9,843
71.700005,843
71.1,859
70.700005,859
70.4,859
70.200005,859
70.3,851
70.4,851
70.4,851
70.4,851
71.0,828
71.1,843
71.1,843
70.9,851
70.6,859
70.6,851
70.6,851
70.8,843
70.700005,851
70.4,859
70.200005,859
70.3,851
70.1,859
70.0,859
70.200005,851
70.3,851
70.8,835
71.3,828
71.5,835
71.200005,851
71.0,851
70.8,851
70.9,843
71.0,843
71.3,835
71.5,835
72.0,820
72.6,812
73.0,812
73.1,820
73.1,820
72.9,828
72.8,828
72.5,835
72.3,835
72.4,828
72.200005,835
71.9,843
71.700005,843
71.3,851
71.1,851
70.5,867
70.5,851
70.3,859
70.0,867
69.9,859
69.9,859
70.1,851
70.200005,851
70.5,843
70.700005,843
71.1,835
71.5,828
71.4,843
71.1,851
70.9,851
70.8,851
70.700005,851
70.4,859
70.0,867
69.200005,890
68.8,882
68.6,882
69.4,843
69.200005,875
68.8,882
68.6,882
68.200005,890
68.1,882
68.1,882
68.3,875
68.4,875
68.8,859
69.5,843
70.0,843
69.9,859
70.1,851
70.4,843
70.200005,859
70.3,851
70.1,859
70.0,859
70.200005,851
69.5,882
69.200005,875
68.700005,890
68.3,890
67.8,898
67.5,898
67.3,898
67.3,890
67.5,882
67.8,875
68.0,875
68.4,867
68.5,875
68.9,859
69.0,867
69.200005,859
69.6,851
69.9,851
70.3,843
70.1,859
69.6,875
69.3,875
69.1,875
69.1,867
69.1,867
69.1,867
69.1,867
69.3,859
69.700005,851
69.9,851
69.9,859
69.700005,867
69.700005,859
69.4,875
69.9,843
70.5,835
70.9,835
71.0,843
71.1,843
71.3,835
71.3,843
71.700005,828
72.200005,820
72.700005,812
72.6,828
72.6,828
72.8,820
72.700005,828
72.5,835
73.4,796
73.3,820
73.3,820
73.1,828
72.700005,835
72.200005,843
71.700005,851
71.8,835
71.6,843
71.5,843
71.4,843
71.3,843
71.700005,828
72.200005,820
72.5,820
72.700005,820
73.1,812
72.9,828
73.0,820
72.700005,835
72.0,851
71.3,859
70.700005,867
70.200005,867
69.700005,875
69.5,867
69.4,867
69.5,859
69.6,859
69.9,851
70.3,843
70.6,843
71.200005,828
71.0,851
71.5,828
72.0,820
72.0,835
72.4,820
72.9,812
73.4,804
73.6,812
73.700005,812
74.0,804
73.8,820
73.8,812
73.8,812
73.6,820
73.3,828
73.9,796
74.4,796
74.700005,796
74.200005,820
73.700005,828
72.5,859
71.5,867
70.3,890
69.200005,898
68.3,906
67.5,914
66.9,914
66.9,898
66.700005,906
66.4,914
66.200005,914
66.0,914
66.1,906
65.9,914
66.0,906
65.700005,921
65.9,906
66.9,867
67.200005,882
66.700005,914
66.700005,898
66.9,890
67.1,890
67.4,882
67.9,867
68.700005,851
68.700005,1828
68.700005,656
69.700005,835
69.700005,1140
69.700005,507
70.5,828
70.9,835
71.0,843
71.3,835
71.1,851
71.3,835
71.700005,828
71.3,851
70.5,875
70.1,867
70.0,859
70.200005,851
69.700005,875
69.200005,882
69.200005,867
69.200005,867
69.0,875
68.700005,882
68.5,882
68.3,882
68.6,867
68.8,867
68.6,882
68.200005,890
68.0,890
68.4,867
67.700005,906
67.200005,906
67.4,882
67.0,906
66.8,906
66.8,898
66.6,906
66.5,906
66.200005,914
65.9,921
65.8,914
65.9,906
66.200005,898
66.200005,906
66.4,898
66.200005,914
66.200005,906
66.9,875
66.9,898
67.1,890
67.4,882
67.4,890
67.9,867
68.1,875
68.3,875
68.4,875
68.5,875
68.9,859
68.8,875
68.4,890
68.3,882
68.0,890
67.8,890
67.5,898
67.700005,882
68.3,859
68.4,875
68.1,890
67.700005,898
67.4,898
67.200005,898
66.9,906
66.9,898
67.1,890
68.3,843
68.6,867
68.8,867
69.1,859
69.1,867
68.9,875
68.6,882
68.200005,890
68.0,890
68.0,882
68.0,882
68.8,851
68.9,867
68.8,875
68.6,882
68.6,875
68.4,882
68.1,890
68.1,882
67.9,890
67.700005,890
67.4,898
67.6,882
67.9,875
67.700005,890
67.8,882
68.0,875
67.8,890
67.9,882
68.1,875
68.6,859
69.6,835
69.700005,859
69.9,851
69.9,859
69.700005,867
69.4,875
69.0,882
69.1,867
68.6,890
68.200005,890
67.8,898
67.5,898
67.5,890
67.8,875
68.0,875
68.0,882
67.8,890
67.5,898
67.3,898
67.1,898
67.0,898
66.8,906
66.8,898
66.8,898
66.8,898
67.200005,882
67.4,882
67.6,882
67.700005,882
67.8,882
67.700005,890
67.4,898
67.0,906
66.9,898
66.5,914
66.4,906
66.200005,914
66.9,875
67.1,890
67.200005,890
67.1,898
66.8,906
67.0,890
66.8,906
66.4,914
66.3,906
66.1,914
66.1,906
66.3,898
66.3,906
66.5,898
66.6,898
66.8,890
67.200005,882
67.8,867
68.0,875
68.4,867
68.5,875
68.700005,867
68.700005,875
68.5,882
68.3,882
67.8,898
67.5,898
67.1,906
66.6,914
66.700005,898
66.5,906
66.4,906
66.5,898
66.8,890
66.8,898
66.6,906
66.5,906
66.6,898
67.0,882
67.700005,867
68.0,875
68.4,867
68.8,859
69.1,859
69.700005,843
70.4,835
70.0,867
70.4,843
70.200005,859
70.3,851
70.1,859
69.8,867
69.8,859
69.6,867
69.1,882
68.9,875
68.4,890
68.1,890
67.9,890
67.4,906
67.0,906
66.6,914
66.1,921
65.9,914
65.5,929
65.4,921
65.200005,929
65.0,929
64.9,929
64.6,937
64.8,921
64.9,921
64.8,929
65.0,914
65.200005,914
65.5,906
66.3,882
66.5,898
66.200005,914
65.700005,929
65.0,945
64.4,953
64.0,953
63.4,968
63.4,945
63.3,953
63.5,937
64.1,914
64.3,929
64.5,921
64.700005,921
64.8,921
65.0,914
65.0,921
65.200005,914
65.700005,898
65.9,906
66.5,882
67.0,882
67.1,890
67.1,578
66.200005,1046
66.0,914
65.9,914
65.3,937
65.1,929
65.1,921
64.8,937
64.9,921
65.0,921
64.9,929
65.0,921
65.200005,914
65.200005,921
66.200005,875
66.700005,882
66.9,890
66.9,898
67.1,890
66.8,906
66.6,906
66.5,906
66.200005,914
66.200005,906
66.0,914
65.700005,921
65.700005,914
65.4,929
65.3,921
64.9,937
64.8,929
64.700005,929
64.3,945
64.4,929
64.3,937
64.200005,937
64.1,937
64.1,937
64.3,929
64.200005,937
64.1,937
64.1,937
64.1,937
64.4,921
64.5,929
64.700005,921
64.8,921
64.700005,929
64.8,921
64.9,921
65.0,921
65.0,921
65.0,921
65.4,906
65.5,914
65.9,898
66.4,890
68.200005,828
69.3,835
70.5,820
70.9,835
71.200005,835
71.4,835
71.6,835
71.5,843
71.4,843
71.3,843
71.3,843
71.3,843
71.9,820
72.3,820
72.4,828
72.4,828
72.6,820
72.4,835
72.0,843
72.200005,828
71.700005,851
71.3,851
71.3,843
71.5,835
71.200005,851
71.0,851
70.5,867
69.700005,882
69.0,890
68.200005,906
67.4,914
66.9,914
66.0,937
65.9,914
66.0,906
66.200005,898
66.200005,906
66.200005,906
66.4,898
66.3,906
66.6,890
66.700005,898
67.1,882
67.200005,890
67.3,890
67.5,882
67.3,898
67.1,898
66.6,914
66.1,921
65.6,929
65.4,921
65.3,921
64.9,937
64.3,953
63.8,960
63.7,945
63.2,968
62.8,968
62.7,960
62.600002,960
62.7,953
62.9,945
62.9,953
63.100002,945
63.4,937
63.4,945
63.8,929
63.9,937
63.9,937
64.1,929
64.1,937
64.1,937
63.9,945
64.1,929
64.4,921
64.6,921
64.9,914
65.1,914
65.1,921
65.4,906
66.200005,882
66.4,898
66.700005,890
67.3,875
67.9,867
67.9,429
67.9,2140
68.3,867
68.3,257
68.3,609
68.3,398
68.3,460
68.4,875
68.3,882
68.8,859
68.8,554
68.8,1203
68.9,867
68.8,875
68.700005,875
68.3,890
67.8,898
67.700005,890
67.8,882
68.4,859
69.6,828
70.5,828
71.3,820
72.5,796
73.4,796
73.8,804
73.8,812
73.6,820
73.3,828
72.9,835
72.4,843
71.4,867
70.6,875
70.0,875
69.200005,890
68.8,882
68.6,882
68.200005,890
68.1,882
67.9,890
67.6,898
67.5,890
67.5,890
66.9,914
66.5,914
66.1,921
65.6,929
65.3,929
65.200005,921
65.200005,921
65.3,914
65.6,906
66.0,898
66.8,875
67.3,875
67.5,882
67.8,875
67.9,882
67.6,898
67.700005,882
67.200005,906
66.9,906
66.5,914
65.700005,937
65.4,929
65.0,937
64.5,945
64.5,929
64.5,929
64.8,914
65.4,898
65.5,914
65.5,914
65.700005,906
65.200005,937
65.200005,921
65.200005,921
65.3,914
65.6,906
65.8,906
65.6,921
65.8,906
65.6,921
65.4,921
66.200005,882
66.0,914
65.200005,945
64.5,953
64.0,953
63.8,945
63.3,968
63.100002,960
62.8,968
62.7,960
62.8,953
62.9,953
63.4,929
63.600002,937
63.9,929
63.9,937
63.9,937
64.3,921
64.200005,937
64.6,914
64.9,914
65.1,914
65.3,914
65.200005,921
65.200005,921
65.200005,921
64.700005,945
64.8,921
64.4,945
64.1,945
63.9,945
63.600002,953
63.7,937
63.5,953
63.2,960
63.4,937
63.4,945
63.4,945
63.600002,937
63.600002,945
63.9,929
64.1,929
64.1,937
64.3,929
64.200005,937
64.3,929
64.200005,937
64.1,937
64.4,921
64.3,937
64.4,929
64.5,929
64.200005,945
64.3,929
64.1,945
64.1,937
64.4,921
64.8,914
65.8,882
65.9,906
66.4,890
66.200005,914
66.0,914
65.700005,921
65.200005,937
65.0,929
64.9,929
64.6,937
64.6,929
64.6,929
64.4,937
64.5,929
64.200005,945
63.8,953
63.7,945
63.600002,945
63.4,953
63.4,945
63.4,945
63.600002,937
63.7,937
63.5,953
63.7,937
63.8,937
63.4,960
63.3,953
63.4,945
63.0,968
62.7,968
62.5,968
62.8,945
62.7,960
62.3,976
62.100002,976
61.9,976
61.600002,984
61.100002,1000
61.100002,984
61.4,968
61.600002,968
61.3,992
60.9,1000
60.8,992
60.7,992
61.100002,968
61.5,960
61.5,976
61.3,984
61.2,984
61.3,976
61.4,976
61.9,953
62.2,953
61.8,984
61.100002,1007
60.9,992
60.5,1007
60.7,984
61.2,960
61.4,968
61.4,976
61.3,984
61.4,976
61.600002,968
61.9,960
62.4,945
62.600002,953
62.7,953
62.8,953
62.600002,968
62.600002,960
62.7,953
62.9,945
62.9,953
62.9,953
62.9,953
63.100002,945
64.200005,898
64.6,914
65.1,906
65.4,906
65.5,914
65.0,937
64.5,945
64.0,953
63.7,953
63.8,937
63.600002,953
63.4,953
63.3,953
63.100002,960
63.100002,953
63.600002,929
63.600002,945
63.4,953
63.3,953
63.2,953
63.100002,953
63.600002,929
63.600002,945
63.4,953
63.4,945
63.100002,960
63.100002,953
63.600002,929
63.7,937
63.8,937
63.600002,953
63.600002,945
63.4,953
63.100002,960
63.100002,953
63.4,937
63.9,921
64.1,929
64.3,929
64.4,929
64.1,945
64.1,937
63.9,945
63.9,937
64.1,929
63.8,953
63.4,960
63.0,968
62.5,976
62.3,968
62.5,953
63.0,937
63.5,929
63.8,929
63.7,945
63.5,953
63.3,953
63.2,953
63.100002,953
63.2,945
63.3,945
63.100002,960
62.8,968
62.3,984
62.100002,976
61.9,976
61.9,968
62.2,953
62.600002,945
62.9,945
62.8,960
62.7,960
62.5,968
62.7,953
62.600002,960
63.0,937
63.0,953
63.2,945
63.3,945
63.2,953
63.3,945
63.5,937
63.2,960
62.8,968
62.600002,968
62.3,976
62.4,960
62.600002,953
62.9,945
62.600002,968
62.4,968
62.100002,976
61.8,984
62.0,960
62.2,960
62.100002,968
62.100002,968
62.100002,968
62.2,960
62.600002,945
62.7,953
62.5,968
62.3,968
62.2,968
61.8,984
61.600002,984
61.7,968
62.100002,953
62.100002,968
62.2,960
62.0,976
61.8,976
61.9,968
61.8,976
62.2,953
62.600002,945
62.600002,960
62.7,953
62.5,968
62.7,953
62.600002,960
62.7,953
63.3,929
63.5,937
63.7,937
63.5,953
63.3,953
63.2,953
63.100002,953
63.2,945
63.3,945
63.4,945
63.3,953
63.4,945
63.600002,937
63.9,929
63.9,937
63.8,945
63.7,945
63.8,937
64.5,906
65.0,906
65.9,882
67.1,859
67.6,875
67.9,875
67.9,882
67.6,898
67.0,914
66.4,921
65.9,929
65.5,929
65.200005,929
65.200005,921
65.0,929
65.0,921
65.0,921
64.9,929
64.5,945
64.3,937
64.4,929
64.3,937
64.1,945
63.8,953
63.600002,953
63.3,960
63.2,953
63.3,945
63.4,945
63.100002,960
62.9,960
62.9,953
62.9,953
63.100002,945
63.4,937
63.9,921
63.9,937
63.8,945
63.7,945
63.3,960
63.2,953
63.4,937
63.600002,937
63.600002,945
63.4,953
63.4,945
63.3,953
63.4,945
63.8,929
64.0,929
63.8,945
63.7,945
63.5,953
63.7,937
63.3,960
63.100002,960
62.9,960
62.9,953
62.9,953
62.8,960
62.7,960
62.3,976
62.4,960
62.7,945
62.600002,960
62.7,953
62.8,953
62.9,953
63.100002,945
63.100002,953
63.4,937
63.4,945
63.4,945
63.100002,960
62.9,960
62.600002,968
62.4,968
62.3,968
62.2,968
62.3,960
62.2,968
62.100002,968
62.100002,968
61.9,976
62.2,953
62.600002,945
62.600002,960
62.4,968
62.600002,953
62.4,968
62.4,960
62.7,945
62.9,945
62.9,953
62.9,953
62.9,953
63.2,937
63.100002,953
63.100002,953
63.4,937
63.4,945
63.600002,937
63.4,953
63.3,953
