Service,X,Y,Z
LinearAcc,-9.763065,-5.448652,2.117724, 
AngularVelocity,76.440002,-186.690002,100.590004, 
MagneticField,-104.009171,-60.621407,-57.992950, 
LinearAcc,-10.476151,-3.306999,6.135417, 
AngularVelocity,88.550003,-197.960007,165.339996, 
MagneticField,-111.000397,-55.331978,-69.204651, 
LinearAcc,-8.207675,-0.849482,7.544839, 
AngularVelocity,95.410004,-206.360001,159.460007, 
MagneticField,-112.549416,-46.145409,-75.976967, 
LinearAcc,-4.668564,-0.234505,5.862625, 
AngularVelocity,32.270000,-50.259998,55.650002, 
MagneticField,-112.590286,-38.871521,-87.864746, 
LinearAcc,-5.025107,1.744430,7.709950, 
AngularVelocity,-32.689999,-11.130000,5.110000, 
MagneticField,-93.882614,-23.261831,-88.587456, 
LinearAcc,-6.405815,1.797074,9.822887, 
AngularVelocity,-62.510002,-11.690000,-33.040001, 
MagneticField,-96.420280,-27.090876,-90.370705, 
LinearAcc,-5.379257,-1.763573,8.600112, 
AngularVelocity,-83.860001,53.270000,-119.070000, 
MagneticField,-92.264191,-32.311554,-90.903435, 
LinearAcc,-6.901147,-2.634592,7.623805, 
AngularVelocity,-122.709999,142.660004,-141.470001, 
MagneticField,-93.773399,-39.998627,-90.573761, 
LinearAcc,-7.738665,-3.780795,5.611370, 
AngularVelocity,-71.540001,156.169998,-62.790001, 
MagneticField,-93.453461,-53.491222,-84.696709, 
LinearAcc,-9.557275,-3.383572,3.541504, 
AngularVelocity,-3.850000,189.490005,76.440002, 
MagneticField,-96.326988,-61.115047,-76.916832, 
LinearAcc,-9.315591,-2.067473,1.316099, 
AngularVelocity,-14.840000,176.610001,181.300003, 
MagneticField,-105.203300,-56.877026,-71.199608, 
LinearAcc,-9.179195,0.270399,1.474031, 
AngularVelocity,-114.239998,-128.520004,170.100006, 
MagneticField,-112.351151,-42.746292,-56.170273, 
LinearAcc,-7.573554,1.978935,5.161503, 
AngularVelocity,-48.439999,-259.000000,-9.940000, 
MagneticField,-113.295036,-30.110285,-54.484760, 
LinearAcc,-7.573554,-1.548212,7.796094, 
AngularVelocity,3.360000,-319.269989,-77.769997, 
MagneticField,-114.876289,-27.968529,-73.860718, 
LinearAcc,-5.283541,-2.555626,8.911190, 
AngularVelocity,-58.590000,-128.309998,-133.699997, 
MagneticField,-101.655411,-35.945183,-86.017403, 
LinearAcc,-5.709479,-4.292877,9.277305, 
AngularVelocity,-182.000000,88.690002,-141.190002, 
MagneticField,-84.139565,-42.713604,-91.399940, 
LinearAcc,-7.654913,-4.993999,6.453673, 
AngularVelocity,-139.720001,307.160004,18.059999, 
MagneticField,-77.016945,-51.813564,-86.331848, 
LinearAcc,-7.973170,-3.031815,3.213675, 
AngularVelocity,-27.020000,323.260010,169.259995, 
MagneticField,-91.654915,-66.664452,-75.548691, 
LinearAcc,-7.796094,-1.167739,0.667621, 
AngularVelocity,-6.650000,57.889999,174.930008, 
MagneticField,-108.182327,-53.323608,-61.017109, 
LinearAcc,-8.638398,-1.483603,1.911934, 
AngularVelocity,-27.299999,-307.230011,0.280000, 
MagneticField,-110.438400,-44.853584,-50.388458, 
