Timestamp,Count
139512,0
139520,0
139528,-1
139535,-2
139543,-2
139551,-13
139559,0
139567,5
139575,-54
139582,-9
139590,-112
139598,-96
139606,54
139614,-572
139621,116
139629,1744
139637,-541
139645,-3861
139653,1860
139660,19908
139668,39775
139676,48574
139684,45999
139692,41858
139700,42094
139707,42650
139715,40991
139723,39806
139731,38996
139739,37897
139746,36948
139754,35972
139762,35041
139770,34185
139778,33323
139785,32481
139793,31652
139801,30851
139809,30096
139817,29370
139825,28641
139832,27902
139840,27160
139848,26442
139856,25772
139864,25152
139871,24543
139879,23908
139887,23268
139895,22680
139903,22150
139910,21625
139918,21071
139926,20507
139934,19967
139942,19442
139950,18928
139957,18434
139965,17938
139973,17462
139981,17042
139989,16651
139996,16246
140004,15812
140012,15373
140020,14975
140028,14607
140035,14229
140043,13843
140051,13498
140059,13190
140067,12846
140075,12485
140082,12141
140090,11865
140098,11625
140106,11339
140114,10993
140121,10670
140129,10410
140137,10186
140145,9948
140153,9676
140160,9393
140168,9134
140176,8903
140184,8689
140192,8475
140200,8261
140207,8052
140215,7856
140223,7667
140231,7465
140239,7238
140246,7007
140254,6814
140262,6656
140270,6507
140278,6364
140285,6214
140293,6060
140301,5916
140309,5786
140317,5658
140325,5511
140332,5341
140340,5186
140348,5071
140356,4970
140364,4854
140371,4724
140379,4583
140387,4449
140395,4330
140403,4230
140410,4124
140418,4000
140426,3885
140434,3807
140442,3747
140450,3656
140457,3518
140465,3390
140473,3306
140481,3241
140489,3159
140496,3080
140504,3023
140512,2962
140520,2856
140528,2732
140535,2640
140543,2616
140551,2587
140559,2523
140567,2440
140575,2361
140582,2296
140590,2235
140598,2171
140606,2118
140614,2068
140621,2022
140629,1965
140637,1899
140645,1850
140653,1816
140660,1778
140668,1718
140676,1659
140684,1617
140692,1566
140700,1501
140707,1452
140715,1416
140723,1376
140731,1323
140739,1287
140746,1280
140754,1270
140762,1219
140770,1144
140778,1094
140785,1057
140793,1025
140801,996
140809,979
140817,959
140825,933
140832,918
140840,926
140848,934
140856,901
140864,833
140871,779
140879,757
140887,759
140895,766
140903,753
140910,733
140918,716
140926,694
140934,670
140942,626
140950,584
140957,557
140965,543
140973,541
140981,543
140989,539
140996,522
141004,501
141012,479
141020,469
141028,466
141035,441
141043,417
141051,406
141059,389
141067,365
141075,350
141082,331
141090,313
141098,314
141106,342
141114,395
141121,410
141129,367
141137,313
141145,298
141153,306
141160,295
141168,251
141176,217
141184,221
141192,236
141200,217
141207,198
141215,199
141223,219
141231,230
141239,212
141246,177
141254,139
141262,118
141270,135
141278,159
141285,162
141293,143
141301,136
141309,162
141317,197
141325,211
141332,195
141340,162
141348,148
141356,150
141364,151
141371,147
141379,134
141387,127
141395,110
141403,81
141410,69
141418,105
141426,146
141434,139
141442,101
141450,64
141457,70
141465,121
141473,153
141481,124
141489,73
141496,44
141504,46
141512,64
141520,73
141528,70
141535,60
141543,36
141551,4
141559,1
141567,35
141575,64
141582,62
141590,44
141598,28
141606,25
141614,21
141621,4
141629,-7
141637,1
141645,9
141653,-4
141660,-29
141668,-42
141676,-40
141684,-35
141692,-48
141700,-53
141707,-33
141715,-6
141723,-9
141731,-30
141739,-35
141746,-24
141754,-20
141762,-27
141770,5
141778,67
141785,81
141793,18
141801,-30
141809,-4
141817,45
141825,23
141832,-49
141840,-72
141848,-28
141856,1
141864,-31
141871,-71
141879,-58
141887,-27
141895,-21
141903,-25
141910,-17
141918,-14
141926,-31
141934,-42
141942,-22
141950,13
141957,34
141965,30
141973,12
141981,-19
141989,-26
141996,-12
142004,-16
142012,-56
142020,-83
142028,-66
142035,-23
142043,15
142051,19
142059,-6
142067,-49
142075,-67
142082,-51
142090,-36
142098,-41
142106,-45
142114,-42
142121,-53
142129,-78
142137,-76
142145,-43
142153,-18
142160,-33
142168,-48
142176,-35
142184,-21
142192,-18
142200,-37
142207,-56
142215,-41
142223,-36
142231,-66
142239,-94
142246,-72
142254,-29
142262,-13
142270,-24
142278,-11
142285,30
142293,40
142301,12
142309,1
142317,12
142325,26
142332,49
142340,67
142348,51
142356,-16
142364,-88
142371,-95
142379,-60
142387,-62
142395,-91
142403,-70
142410,-15
142418,-8
142426,-42
142434,-41
142442,0
142450,27
142457,3
142465,-11
142473,10
142481,36
142489,29
142496,-5
142504,-19
142512,-19
142520,-12
142528,10
142535,13
142543,-5
142551,-2
142559,31
142567,81
142575,115
142582,114
142590,78
142598,33
142606,2
142614,-20
142621,-40
142629,-58
142637,-54
142645,-15
142653,11
142660,-8
142668,-36
142676,-44
142684,-34
142692,-30
142700,-37
142707,-1
142715,49
142723,67
142731,33
142739,-7
142746,-13
142754,6
142762,12
142770,-1
142778,-23
142785,-33
142793,-37
142801,-27
142809,-5
142817,4
142825,-8
142832,-31
142840,-51
142848,-61
142856,-62
142864,-54
142871,-44
142879,-62
142887,-94
142895,-121
142903,-98
142910,-45
142918,-20
142926,-44
142934,-76
142942,-77
142950,-47
142957,-33
142965,-33
142973,-38
142981,-26
142989,-7
142996,0
143004,-18
143012,-37
143020,-35
143028,-10
143035,-3
143043,-17
143051,-26
143059,-3
143067,29
143075,26
143082,3
143090,-2
143098,4
143106,-18
143114,-62
143121,-76
143129,-34
143137,16
143145,7
143153,-28
143160,-25
143168,8
143176,16
143184,-6
143192,-28
143200,-17
143207,2
143215,-9
143223,-42
143231,-48
143239,-26
143246,7
143254,12
143262,-21
143270,-64
143278,-81
143285,-56
143293,-1
143301,48
143309,51
143317,21
143325,-1
143332,-26
143340,-42
143348,-27
143356,19
143364,69
143371,81
143379,52
143387,44
143395,62
143403,83
143410,92
143418,92
143426,73
143434,38
143442,15
143450,2
143457,8
143465,23
143473,23
143481,4
143489,-33
143496,-58
143504,-34
143512,20
143520,41
143528,10
143535,-29
143543,-50
143551,-34
143559,-1
143567,24
143575,25
143582,26
143590,32
143598,44
143606,23
143614,-36
143621,-90
143629,-108
143637,-108
143645,-66
143653,3
143660,43
143668,44
143676,30
143684,26
143692,18
143700,-14
143707,-30
143715,4
143723,54
143731,55
143739,15
143746,-18
143754,-23
143762,-11
143770,-12
143778,-26
143785,-31
143793,-14
143801,26
143809,42
143817,14
143825,-11
143832,4
143840,53
143848,88
143856,86
143864,82
143871,74
143879,65
143887,62
143895,52
143903,28
143910,2
143918,-8
143926,9
143934,51
143942,89
143950,77
143957,45
143965,24
143973,21
143981,11
143989,-30
143996,-60
144004,-46
144012,-18
144020,-36
144028,-76
144035,-84
144043,-59
144051,-40
144059,-35
144067,-13
144075,11
144082,-12
144090,-54
144098,-55
144106,-16
144114,7
144121,-12
144129,-20
144137,-6
144145,-10
144153,-37
144160,-52
144168,-49
144176,-36
144184,-24
144192,-2
144200,19
144207,19
144215,-12
144223,-45
144231,-68
144239,-72
144246,-62
144254,-34
144262,-25
144270,-28
144278,-26
144285,-23
144293,-21
144301,-7
144309,-19
144317,-53
144325,-74
144332,-58
144340,-29
144348,-35
144356,-67
144364,-78
144371,-56
144379,-28
144387,-16
144395,4
144403,-1
144410,-36
144418,-78
144426,-90
144434,-73
144442,-57
144450,-62
144457,-69
144465,-60
144473,-38
144481,-24
144489,-31
144496,-47
144504,-60
144512,-74
144520,-85
144528,-80
144535,-61
144543,-33
144551,-4
144559,12
144567,12
144575,2
144582,-15
144590,-24
144598,-32
144606,-46
144614,-47
144621,-39
144629,-46
144637,-51
144645,-57
144653,-54
144660,-43
144668,-26
144676,-11
144684,-5
144692,-15
144700,-31
144707,-34
144715,-12
144723,-11
144731,-36
144739,-56
144746,-58
144754,-54
144762,-42
144770,-29
144778,-28
144785,-35
144793,-56
144801,-56
144809,-33
144817,-21
144825,-18
144832,8
144840,40
144848,31
144856,-4
144864,-26
144871,-22
144879,-9
144887,-2
144895,-18
144903,-39
144910,-61
144918,-55
144926,-14
144934,15
144942,2
144950,-21
144957,-15
144965,1
144973,0
144981,-11
144989,-21
144996,-18
145004,7
145012,21
145020,15
145028,-13
145035,-56
145043,-64
145051,-36
145059,-15
145067,-16
145075,-39
145082,-64
145090,-73
145098,-50
145106,-18
145114,-8
145121,-18
145129,-32
145137,-33
145145,-28
145153,-31
145160,-33
145168,-26
145176,-17
145184,-11
145192,6
145200,15
145207,-7
145215,-33
145223,-28
145231,-2
145239,5
145246,-14
145254,-36
145262,-34
145270,-26
145278,-27
145285,-33
145293,-31
145301,-32
145309,-29
145317,-31
145325,-48
145332,-69
145340,-67
145348,-50
145356,-49
145364,-50
145371,-46
145379,-32
145387,-26
145395,-36
145403,-55
145410,-77
145418,-102
145426,-112
145434,-90
145442,-58
145450,-48
145457,-49
145465,-48
145473,-38
145481,-33
145489,-47
145496,-63
145504,-57
145512,-46
145520,-53
145528,-82
145535,-100
145543,-96
145551,-82
145559,-69
145567,-67
145575,-61
145582,-56
145590,-47
145598,-34
145606,-43
145614,-66
145621,-72
145629,-53
145637,-50
145645,-74
145653,-104
145660,-97
145668,-72
145676,-58
145684,-60
145692,-66
145700,-77
145707,-84
145715,-94
145723,-95
145731,-79
145739,-69
145746,-89
145754,-126
145762,-139
145770,-123
145778,-90
145785,-76
145793,-92
145801,-104
145809,-103
145817,-98
145825,-92
145832,-97
145840,-108
145848,-110
145856,-102
145864,-103
145871,-97
145879,-85
145887,-78
145895,-68
145903,-67
145910,-73
145918,-78
